,attackTypeList,successfulAttackList,hostagesList,ransomList,propertyDamageList,suicideAttackList,partOfMultipleIncidentList,typeOfWeaponList,subTypeOfWeaponList
0,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
1,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
2,Armed Assault,Yes,No,No,Yes,No,No,Melee,Knife or Other Sharp Object
3,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
4,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
5,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
6,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
7,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
8,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
9,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
10,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
11,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
12,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
13,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
14,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
15,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
16,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
17,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
18,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
19,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
20,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
21,Assassination,No,No,No,No,No,No,Firearms,Automatic Weapon
22,Assassination,No,No,No,No,No,No,Firearms,Handgun
23,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
24,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
25,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
26,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Automatic Weapon
27,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Automatic Weapon
28,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Automatic Weapon
29,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Automatic Weapon
30,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Automatic Weapon
31,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Automatic Weapon
32,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
33,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
34,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
35,Assassination,No,No,No,No,No,No,Firearms,Handgun
36,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
37,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
38,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
39,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
40,Hijacking,Yes,Yes,No,No,No,No,Unknown,Unknown
41,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
42,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
43,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
44,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
45,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
46,Assassination,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
47,Unarmed Assault,Yes,No,No,Yes,No,No,Melee,Blunt Object
48,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
49,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
50,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
51,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
52,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
53,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
54,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Pipe Bomb
55,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
56,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
57,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
58,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
59,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
60,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
61,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
62,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
63,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
64,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
65,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
66,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
67,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
68,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
69,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
70,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
71,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
72,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
73,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Unknown
74,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
75,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
76,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
77,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
78,Assassination,No,No,No,No,No,No,Firearms,Handgun
79,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
80,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
81,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
82,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
83,Hostage Taking (Barricade Incident),Yes,Yes,Yes,Yes,No,No,Explosives,Grenade
84,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
85,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
86,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
87,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
88,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
89,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
90,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
91,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
92,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
93,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
94,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
95,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
96,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
97,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
98,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
99,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
100,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
101,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
102,Assassination,No,No,No,No,No,No,Firearms,Automatic Weapon
103,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Unknown
104,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
105,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
106,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
107,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
108,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
109,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
