,attackTypeList,successfulAttackList,hostagesList,ransomList,propertyDamageList,suicideAttackList,partOfMultipleIncidentList,typeOfWeaponList,subTypeOfWeaponList
0,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
1,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
4,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
5,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
6,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
7,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
8,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
9,Armed Assault,Yes,No,No,No,No,No,Firearms,Rifle/Shotgun (non-automatic)
10,Assassination,Yes,No,No,Yes,No,No,Explosives,Land Mine
11,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
12,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
13,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
14,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
15,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
16,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
17,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
18,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
19,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
20,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
21,Armed Assault,Yes,No,No,Yes,No,No,Melee,"Hands, Feet, Fists"
22,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
23,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Sabotage Equipment,Unknown
24,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
25,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
26,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
27,Bombing/Explosion,Yes,No,No,No,No,Yes,Explosives,Other Explosive Type
28,Assassination,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
29,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
30,Bombing/Explosion,Yes,No,No,No,Yes,No,Explosives,Suicide (carried bodily by human being)
31,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
32,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
33,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
34,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
35,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
36,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
37,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
38,Armed Assault,Yes,No,No,Unknown,No,No,Explosives,Grenade
39,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
40,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
41,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
42,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
43,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
44,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
45,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
46,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
47,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
48,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
49,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
50,Armed Assault,Yes,Yes,Unknown,Unknown,No,No,Unknown,Unknown
51,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
52,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
53,Armed Assault,Yes,Yes,Unknown,No,No,No,Unknown,Unknown
54,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Other Explosive Type
55,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Vehicle
56,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
57,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
